@RELATION manxknn
@ATTRIBUTE features1 NUMERIC
@ATTRIBUTE features2 NUMERIC
@ATTRIBUTE features3 NUMERIC
@ATTRIBUTE features4 NUMERIC
@ATTRIBUTE features5 NUMERIC
@ATTRIBUTE features6 NUMERIC
@ATTRIBUTE features7 NUMERIC
@ATTRIBUTE features8 NUMERIC
@ATTRIBUTE features9 NUMERIC
@ATTRIBUTE features10 NUMERIC
@ATTRIBUTE features11 NUMERIC
@ATTRIBUTE features12 NUMERIC
@ATTRIBUTE features13 NUMERIC
@ATTRIBUTE features14 NUMERIC
@ATTRIBUTE features15 NUMERIC
@ATTRIBUTE features16 NUMERIC
@ATTRIBUTE features17 NUMERIC
@ATTRIBUTE features18 NUMERIC
@ATTRIBUTE features19 NUMERIC
@ATTRIBUTE features20 NUMERIC
@ATTRIBUTE features21 NUMERIC
@ATTRIBUTE features22 NUMERIC
@ATTRIBUTE features23 NUMERIC
@ATTRIBUTE features24 NUMERIC
@ATTRIBUTE features25 NUMERIC
@ATTRIBUTE features26 NUMERIC
@ATTRIBUTE features27 NUMERIC
@ATTRIBUTE features28 NUMERIC
@ATTRIBUTE features29 NUMERIC
@ATTRIBUTE features30 NUMERIC
@ATTRIBUTE features31 NUMERIC
@ATTRIBUTE features32 NUMERIC
@ATTRIBUTE features33 NUMERIC
@ATTRIBUTE features34 NUMERIC
@ATTRIBUTE features35 NUMERIC
@ATTRIBUTE features36 NUMERIC
@ATTRIBUTE features37 NUMERIC
@ATTRIBUTE features38 NUMERIC
@ATTRIBUTE features39 NUMERIC
@ATTRIBUTE features40 NUMERIC
@ATTRIBUTE features41 NUMERIC
@ATTRIBUTE features42 NUMERIC
@ATTRIBUTE features43 NUMERIC
@ATTRIBUTE features44 NUMERIC
@ATTRIBUTE features45 NUMERIC
@ATTRIBUTE features46 NUMERIC
@ATTRIBUTE features47 NUMERIC
@ATTRIBUTE features48 NUMERIC
@ATTRIBUTE features49 NUMERIC
@ATTRIBUTE features50 NUMERIC
@ATTRIBUTE features51 NUMERIC
@ATTRIBUTE features52 NUMERIC
@ATTRIBUTE features53 NUMERIC
@ATTRIBUTE features54 NUMERIC
@ATTRIBUTE features55 NUMERIC
@ATTRIBUTE features56 NUMERIC
@ATTRIBUTE features57 NUMERIC
@ATTRIBUTE features58 NUMERIC
@ATTRIBUTE features59 NUMERIC
@ATTRIBUTE features60 NUMERIC
@ATTRIBUTE features61 NUMERIC
@ATTRIBUTE features62 NUMERIC
@ATTRIBUTE features63 NUMERIC
@ATTRIBUTE features64 NUMERIC
@ATTRIBUTE features65 NUMERIC
@ATTRIBUTE features66 NUMERIC
@ATTRIBUTE features67 NUMERIC
@ATTRIBUTE features68 NUMERIC
@ATTRIBUTE class {Shuffle,Silence,Micbeep}

@DATA
0.003630,0.070043,2.812370,0.113334,0.205921,0.031174,0.024845,0.002382,-27.072072,2.426894,0.317308,0.406361,0.202653,0.229762,0.142752,0.085627,0.047127,0.080506,0.096506,0.065752,0.025308,0.000869,0.000164,0.130511,0.000582,0.013750,0.000493,0.311260,0.000059,0.000271,0.000823,0.004174,0.000126,0.104449,0.002861,0.091819,0.183818,0.020758,0.023567,0.022440,0.022042,0.001195,2.282761,0.059736,0.087171,0.104290,0.029807,0.085505,0.095170,0.051495,0.055607,0.034247,0.086095,0.061063,0.053070,0.000851,0.000141,0.140274,0.000466,0.010983,0.000485,0.138327,0.000039,0.000224,0.000635,0.002251,0.000100,0.018768,Shuffle
0.008332,0.054723,2.448879,0.094140,0.181765,0.025919,0.037003,0.002346,-28.304465,2.166176,0.610296,0.440643,0.177853,0.280453,0.068217,0.141793,0.128582,0.122298,0.111889,0.098396,-0.010533,0.000498,0.000079,0.126891,0.000357,0.026121,0.000255,0.279744,0.000039,0.000217,0.000915,0.004834,0.000163,0.088034,0.008179,0.056979,0.396708,0.027732,0.032121,0.029185,0.038808,0.001380,2.006891,0.268158,0.315931,0.159728,0.167216,0.095270,0.116681,0.105275,0.120149,0.117744,0.119044,0.105169,0.097721,0.000722,0.000108,0.076528,0.000525,0.024254,0.000367,0.108277,0.000054,0.000358,0.001593,0.005419,0.000246,0.020456,Shuffle
0.011956,0.019073,2.542492,0.110910,0.186617,0.054091,0.029599,0.003199,-28.944708,2.069305,0.500213,0.343145,-0.028836,0.067778,0.104279,0.198496,0.213402,0.133697,0.018638,0.004200,-0.073709,0.000766,0.000363,0.098271,0.000627,0.030636,0.000618,0.284511,0.000098,0.000325,0.000785,0.006871,0.000343,0.084395,0.007927,0.028268,0.209695,0.020822,0.018365,0.041014,0.022173,0.003481,1.470610,0.272989,0.350034,0.143447,0.130445,0.142026,0.060315,0.085024,0.133750,0.099065,0.068952,0.113849,0.080812,0.000785,0.000415,0.045513,0.000728,0.027111,0.000702,0.106719,0.000166,0.000448,0.000731,0.006684,0.000438,0.024596,Shuffle
0.011415,0.031162,2.672482,0.115852,0.190979,0.060144,0.026337,0.002918,-27.682918,1.954963,0.547423,0.408400,0.202757,0.205417,0.110258,0.175049,0.121858,0.111148,0.059993,0.094301,0.017077,0.000758,0.000152,0.128071,0.000462,0.020369,0.000499,0.287761,0.000080,0.000292,0.001164,0.006311,0.000206,0.092083,0.008276,0.031589,0.267313,0.023564,0.027542,0.053598,0.022995,0.002507,1.328311,0.325957,0.237722,0.170492,0.182611,0.167312,0.147834,0.124618,0.126476,0.139782,0.143510,0.134631,0.119973,0.000663,0.000141,0.091821,0.000454,0.020765,0.000596,0.111520,0.000073,0.000320,0.001268,0.005687,0.000192,0.020514,Shuffle
0.008061,0.018328,2.656577,0.105380,0.188031,0.051397,0.034702,0.005861,-30.165605,2.104720,0.522176,0.427960,0.186082,0.237919,0.140715,0.170780,0.112772,0.115811,0.071576,0.081788,0.027978,0.000829,0.000135,0.106925,0.000502,0.016271,0.000479,0.319569,0.000095,0.000297,0.000852,0.007208,0.000235,0.097508,0.006579,0.036451,0.272900,0.027154,0.029936,0.091793,0.027782,0.015643,2.414078,0.305626,0.246494,0.192871,0.173925,0.136978,0.140742,0.120211,0.153859,0.124055,0.117799,0.112714,0.122382,0.001146,0.000239,0.081616,0.000716,0.018084,0.000736,0.102346,0.000192,0.000508,0.000980,0.009339,0.000429,0.019412,Shuffle
0.006047,0.022148,2.740452,0.106539,0.194291,0.030317,0.041163,0.001897,-29.364194,2.104058,0.440912,0.424238,0.201692,0.281866,0.110521,0.134106,0.067962,0.097423,0.049869,0.064923,0.055300,0.000483,0.000078,0.083749,0.000346,0.021798,0.000257,0.336553,0.000054,0.000197,0.000676,0.004365,0.000119,0.099196,0.005910,0.018345,0.215137,0.023280,0.023746,0.024826,0.029473,0.000919,1.297136,0.261918,0.160832,0.118496,0.165679,0.108355,0.083223,0.099836,0.094650,0.101614,0.076718,0.107378,0.087157,0.000473,0.000073,0.075580,0.000347,0.018492,0.000313,0.102135,0.000044,0.000220,0.000719,0.004058,0.000148,0.018663,Shuffle
0.007571,0.014751,2.706383,0.106095,0.190228,0.038709,0.037158,0.002507,-29.473544,2.171259,0.467822,0.386194,0.162093,0.246840,0.080190,0.140787,0.134069,0.138420,0.048284,0.084623,-0.028085,0.000737,0.000151,0.123126,0.000433,0.026978,0.000345,0.277755,0.000080,0.000202,0.001184,0.004651,0.000180,0.093002,0.006062,0.017635,0.200781,0.023463,0.025877,0.032921,0.033620,0.001428,1.492992,0.237704,0.229640,0.162907,0.133796,0.137740,0.123961,0.097433,0.124738,0.090728,0.090687,0.093220,0.110063,0.000812,0.000233,0.077172,0.000438,0.026154,0.000399,0.114400,0.000088,0.000241,0.001590,0.004270,0.000234,0.021025,Shuffle
0.006506,0.023753,2.681459,0.099522,0.187566,0.030592,0.047890,0.002218,-29.292167,2.187587,0.487908,0.425724,0.228166,0.280311,0.174567,0.164255,0.115928,0.121440,0.072589,0.082159,0.045413,0.000560,0.000095,0.072448,0.000387,0.026968,0.000276,0.328482,0.000062,0.000203,0.001115,0.005425,0.000141,0.094770,0.005094,0.026041,0.253429,0.030997,0.032892,0.035647,0.037689,0.001868,2.109966,0.280111,0.245552,0.167489,0.139201,0.124066,0.154244,0.143228,0.104305,0.124384,0.150680,0.091324,0.075221,0.000820,0.000150,0.054870,0.000636,0.028511,0.000491,0.107257,0.000105,0.000303,0.001648,0.007722,0.000216,0.024170,Shuffle
0.013087,0.023358,2.701417,0.118805,0.201622,0.044420,0.027890,0.002674,-27.655542,2.119326,0.466164,0.417028,0.229024,0.291246,0.140550,0.175456,0.142336,0.163392,0.091271,0.071465,0.005163,0.000732,0.000162,0.063835,0.000451,0.053065,0.000342,0.251299,0.000075,0.000262,0.000973,0.009283,0.000178,0.076362,0.008999,0.030500,0.265025,0.023097,0.024105,0.026970,0.021182,0.000922,1.415679,0.237446,0.208294,0.132486,0.130915,0.153699,0.090261,0.097025,0.144195,0.154423,0.122165,0.127447,0.100607,0.000573,0.000167,0.052732,0.000326,0.045759,0.000244,0.132929,0.000063,0.000168,0.000779,0.006036,0.000160,0.030084,Shuffle
0.008117,0.049942,2.649713,0.113907,0.200551,0.044392,0.023676,0.006403,-27.338376,2.189592,0.384342,0.479324,0.164456,0.233031,0.174129,0.175543,0.095737,0.123814,0.056783,0.102816,0.007747,0.000852,0.000195,0.116036,0.000559,0.019504,0.000362,0.293196,0.000176,0.000357,0.001642,0.008856,0.000313,0.088355,0.006718,0.077957,0.271118,0.020322,0.025135,0.044838,0.017663,0.015690,2.176548,0.360723,0.226242,0.172495,0.267978,0.148501,0.121642,0.099230,0.109952,0.084055,0.075832,0.102617,0.093159,0.000804,0.000310,0.075329,0.000681,0.015099,0.000313,0.098247,0.000416,0.000723,0.002432,0.009149,0.000654,0.021195,Shuffle
